First Name,Last Name,Retirement Season,Age,PP,2P,GB,GP,AB,PA,R,H,HR,AVG,OBP,SLG,OPS,1B,2B,3B,RBI,XBH,TB,SB,CS,BB,K,HBP,ISO,BABIP,SH,SF,E,PB,PA/G,AB/HR,K%,BB%,XBH%,wRAA,wSB,Def,Pos,Corr,RAA,WAA,WAR
Ivor,Roberts,,36,3B,SS,1134,1190,3321,3640,419,874,116,.263,.319,.411,.731,626,120,12,420,248,1366,110,47,261,909,22,.148,.327,16,20,31,0,3.1,28.6,.27,.07,.28,-14.4,-1.2,34.0,1.0,1.8,21.2,2.3,28.7
Ryland,Baja,,32,3B,1B,983,1041,2936,3288,422,855,117,.291,.355,.476,.831,556,172,10,435,299,1398,58,29,273,497,32,.185,.314,16,31,19,0,3.2,25.1,.17,.08,.35,116.1,-2.1,27.4,-7.0,1.5,135.8,13.8,38.2
Marina,Erp,16,35,SS,,1135,1183,3416,3853,446,964,134,.282,.356,.444,.800,682,145,3,527,282,1517,22,12,371,689,36,.162,.317,3,27,44,0,3.3,25.5,.20,.10,.29,77.6,-3.2,22.8,-2.2,1.9,97.0,9.9,36.2
Fernando,Mota,,32,3B,SS,664,720,1903,2082,252,554,55,.291,.346,.436,.782,401,86,12,251,153,829,66,29,151,394,11,.145,.342,13,4,18,0,2.9,34.6,.21,.07,.28,21.2,0.6,20.9,0.6,1.1,44.5,4.5,20.5
Rylie,Nolan,19,45,2B,SS,1149,1312,3444,3879,469,922,174,.268,.339,.480,.818,542,204,2,568,380,1652,0,1,364,637,25,.212,.280,8,38,48,0,3.0,19.8,.18,.09,.41,108.3,-2.4,18.2,-2.8,1.8,123.1,12.6,39.0
Kole,Duke,,37,SS,2B,1177,1278,3644,4053,459,1007,145,.276,.338,.450,.788,667,193,2,512,340,1639,2,3,316,480,45,.173,.282,11,37,54,10,3.2,25.1,.13,.08,.34,57.5,-3.3,15.4,-12.0,2.1,59.6,6.0,35.3
Nicholas,Palacios,19,41,LF,OF,1316,1421,4213,4668,560,1160,132,.275,.338,.434,.772,774,236,18,542,386,1828,58,35,375,636,40,.159,.296,9,31,5,0,3.3,31.9,.15,.08,.33,62.4,-6.4,15.2,12.0,2.6,85.9,8.7,40.5
Aleah,Hale,12,40,2B,IF/OF,504,945,1153,1228,128,271,17,.235,.274,.330,.604,200,49,5,95,71,381,20,5,58,324,5,.095,.312,9,3,4,4,1.3,67.8,.28,.05,.26,-56.7,1.4,14.9,1.8,0.8,-37.8,-3.9,4.5
Tyler,Tapia,15,43,SS,IF,959,1065,2844,3181,361,705,122,.248,.316,.430,.747,438,137,8,403,267,1224,11,6,261,740,35,.182,.290,15,26,50,0,3.0,23.3,.26,.08,.38,9.3,-1.7,13.9,12.0,1.7,35.2,3.6,25.3
Rhett,Williamson,,36,SS,3B,586,926,1455,1646,156,333,34,.229,.308,.340,.648,241,56,2,173,92,495,1,2,149,461,21,.111,.309,12,9,21,2,1.8,42.8,.32,.09,.28,-40.1,-1.7,13.7,4.8,0.6,-22.7,-2.3,9.1
Monica,Roman,17,41,3B,,1053,1221,3150,3496,317,813,91,.258,.320,.398,.718,555,165,2,405,258,1255,0,1,270,632,30,.140,.294,16,30,53,0,2.9,34.6,.20,.08,.32,-20.3,-2.1,13.6,16.4,1.6,9.2,0.9,24.8
Commander,Shepard,,28,2B,SS,711,720,2301,2560,333,666,102,.289,.353,.489,.842,418,139,7,350,248,1125,31,11,200,284,33,.199,.292,11,15,28,0,3.6,22.6,.12,.08,.37,98.9,-0.7,13.2,-1.9,1.3,110.7,11.3,30.5
Maxime,Mendoza,,27,2B,SS,533,561,1757,1937,264,509,66,.290,.349,.474,.823,324,113,6,216,185,832,15,3,153,199,13,.184,.295,4,10,18,0,3.5,26.6,.11,.08,.36,44.7,0.8,13.2,-1.5,1.1,58.4,5.9,20.9
Jakub,Miazga,,27,SS,2B,597,640,1843,2091,266,490,82,.266,.344,.455,.799,308,97,3,297,182,839,5,5,211,373,18,.189,.290,1,18,21,0,3.3,22.5,.20,.10,.37,31.7,-2.2,12.3,-6.5,1.1,36.3,3.7,19.8
Liv,Webster,18,41,RF,LF,1256,1276,3925,4555,761,1228,231,.313,.398,.567,.965,722,245,30,699,506,2226,172,54,536,582,45,.254,.316,9,40,10,0,3.6,17.0,.15,.12,.41,328.0,7.6,12.2,-46.0,2.3,304.0,31.1,62.2
Ude,Kadabura,,26,RF,,551,560,1626,2086,419,562,125,.346,.487,.617,1.104,372,63,2,339,190,1004,21,3,444,316,9,.272,.367,0,7,1,0,3.7,13.0,.19,.21,.34,280.2,0.5,12.2,-22.7,1.3,271.5,27.4,43.7
Dunstable,Chumpsford,,36,1B,3B,1293,1329,4178,4613,530,1070,117,.256,.318,.396,.714,731,212,10,479,339,1653,42,23,350,553,42,.140,.270,15,28,15,0,3.5,35.7,.13,.08,.32,-46.3,-4.5,12.1,-23.9,2.4,-60.2,-6.1,27.2
Paulie,Calabrese,12,40,3B,SS,861,881,2704,3038,378,764,109,.283,.353,.463,.816,504,142,9,394,260,1251,20,13,270,382,34,.180,.294,16,14,42,0,3.4,24.8,.14,.09,.34,73.2,-3.1,11.3,0.7,1.8,83.8,8.4,29.2
Sunday,Calabasas,,34,2B,,422,467,1287,1447,184,334,39,.260,.330,.406,.736,224,70,1,163,110,523,5,7,128,254,13,.147,.293,6,13,10,0,3.1,33.0,.20,.09,.33,-7.0,-3.7,11.2,2.0,0.9,3.3,0.4,11.8
Arf,Caldwell,12,42,2B,3B,851,925,2634,2917,301,704,96,.267,.329,.434,.762,459,148,1,326,245,1142,0,2,230,405,21,.166,.282,10,22,40,0,3.2,27.4,.15,.08,.35,20.3,-2.0,11.2,7.4,1.7,38.5,3.8,23.7
Tristen,Benitez,,37,2B,SS,498,573,1549,1726,193,437,58,.282,.347,.451,.799,292,86,1,237,145,699,0,1,143,227,18,.169,.297,5,11,18,0,3.0,26.7,.15,.08,.33,18.3,-1.5,11.0,-1.2,0.8,27.3,2.8,14.9
Marco,McKay,,32,SS,3B,701,801,2034,2251,235,505,67,.248,.311,.393,.704,351,81,6,278,154,799,57,25,169,635,22,.145,.326,14,12,36,0,2.8,30.4,.31,.08,.30,-21.0,-2.0,10.9,6.3,1.1,-4.7,-0.5,16.6
Reemus,Freeman,,29,3B,1B,642,659,2049,2269,283,511,73,.249,.312,.415,.728,323,109,6,263,188,851,49,20,177,359,18,.166,.268,9,16,21,2,3.4,28.1,.18,.08,.37,15.3,-0.5,10.9,-4.8,1.3,22.1,2.2,19.7
Tyrone,Lungcaster,,29,SS,2B,754,783,2292,2599,354,651,113,.284,.361,.493,.854,403,129,6,399,248,1131,10,4,265,443,20,.209,.307,5,17,39,0,3.3,20.3,.19,.10,.38,104.6,-2.2,10.7,-8.0,1.2,106.2,10.7,30.4
Ramon,Franks,,37,RF,OF,1280,1378,4145,4620,583,1170,171,.282,.346,.469,.815,749,241,9,523,421,1942,11,8,380,659,44,.186,.298,13,38,14,0,3.4,24.2,.16,.08,.36,126.7,-3.8,10.4,-10.5,2.2,125.1,12.7,44.3
Maurice,Bruiser,17,39,2B,SS,905,1344,2463,2730,323,561,81,.228,.294,.376,.670,366,107,7,307,195,925,44,21,204,816,36,.148,.303,7,20,40,5,2.0,30.4,.33,.07,.35,-67.0,-1.9,10.4,-2.2,1.3,-59.3,-6.1,12.6
Romeo,Gangnam,14,41,3B,1B,1067,1096,3284,3672,426,860,152,.262,.330,.453,.784,542,160,6,513,318,1488,0,3,307,537,45,.191,.270,4,32,46,0,3.4,21.6,.16,.08,.37,54.4,-2.9,10.3,-7.1,2.0,56.6,5.7,30.8
Cola,Johansen,,21,SS,2B,153,160,507,558,95,171,35,.337,.392,.594,.986,112,23,1,134,59,301,2,2,45,111,3,.256,.374,0,3,1,0,3.5,14.5,.22,.08,.35,87.4,-1.0,10.1,-2.2,0.5,94.7,9.5,15.2
Quinto,Smile,,40,C,RF,1149,1487,3349,3734,449,884,143,.264,.329,.450,.779,559,170,12,520,325,1507,44,20,317,900,24,.186,.317,13,31,2,12,2.5,23.4,.27,.08,.37,62.7,-1.7,9.6,19.3,2.1,92.0,9.3,36.1
Jean-Paul,Canard,18,43,RF,OF,837,1361,2462,2733,270,618,76,.251,.313,.389,.701,434,105,3,299,184,957,10,5,213,613,20,.138,.301,11,27,6,0,2.0,32.4,.25,.08,.30,-28.0,-1.4,9.3,-6.8,1.5,-25.5,-2.6,16.1
Mercedes,Palomar,,25,SS,3B,460,480,1417,1586,190,390,72,.275,.341,.487,.828,236,80,2,229,154,690,1,4,138,240,11,.212,.284,6,14,23,0,3.3,19.7,.17,.09,.39,48.2,-2.5,9.2,4.4,1.0,60.3,6.1,18.7
Arena,Rathskeller,14,41,2B,SS,1010,1071,3112,3464,423,840,98,.270,.335,.422,.757,571,164,7,356,269,1312,179,45,287,548,30,.152,.298,14,21,51,0,3.2,31.8,.18,.08,.32,38.1,14.0,9.1,-2.4,1.9,60.7,6.1,29.7
Bryson,Massey,19,40,SS,2B,938,1058,2790,3121,347,710,94,.254,.323,.416,.739,456,152,8,344,254,1160,51,18,267,649,27,.161,.298,14,23,49,0,2.9,29.7,.23,.09,.36,2.0,0.3,9.0,-9.1,1.1,3.4,0.4,21.7
Valentina,Vu,7,40,SS,2B,486,549,1472,1650,199,376,64,.255,.327,.438,.765,242,63,7,208,134,645,14,6,149,302,13,.183,.280,6,10,20,0,3.0,23.0,.21,.09,.36,19.2,-0.4,8.9,-4.7,1.4,24.4,2.4,13.7
Francisco,Souza,19,41,LF,RF,1108,1440,3033,3387,406,727,130,.240,.307,.420,.727,454,130,13,434,273,1273,4,5,278,1022,30,.180,.313,20,26,7,0,2.4,23.3,.34,.08,.38,-47.4,-2.9,8.8,10.7,1.9,-28.9,-2.9,20.3
Ravenswood,Bluff,,31,SS,3B,503,560,1486,1661,186,349,52,.235,.304,.392,.696,221,74,2,201,128,583,2,5,134,381,20,.157,.278,6,15,23,0,3.0,28.6,.26,.08,.37,-19.7,-3.4,8.8,4.7,0.9,-8.7,-0.8,12.1
Bitzer,Kirk,12,40,RF,LF,740,901,2234,2495,271,573,72,.256,.324,.407,.731,382,117,2,262,191,910,0,0,205,481,27,.151,.295,9,20,4,0,2.8,31.0,.22,.08,.33,-5.5,-0.9,8.7,-27.1,1.5,-23.4,-2.4,14.6
Michio,Marin,15,39,2B,3B,1046,1138,3038,3393,414,840,49,.276,.342,.392,.734,606,166,19,349,234,1191,144,36,287,499,24,.116,.315,23,21,55,1,3.0,62.0,.16,.08,.28,-9.3,11.0,8.7,9.1,1.8,21.3,2.2,25.4
Earny,Larsen,13,38,2B,,841,938,2646,2938,332,705,77,.266,.333,.416,.748,470,152,6,321,235,1100,17,18,250,398,19,.149,.287,9,14,37,0,3.1,34.4,.15,.09,.33,15.1,-5.9,8.6,3.3,1.6,22.7,2.3,22.3
Shiloh,Bianchi,17,41,RF,OF,962,1301,2485,2750,298,617,59,.248,.312,.371,.684,439,109,10,259,178,923,90,29,215,740,22,.123,.329,16,12,7,5,2.1,42.1,.30,.08,.29,-36.1,3.8,8.3,-7.8,1.5,-30.3,-3.1,15.7
Jamal,El-Mehdi,,30,RF,LF,826,857,2461,2886,490,777,154,.316,.411,.558,.969,502,107,14,548,275,1374,82,35,389,589,19,.243,.359,2,15,5,0,3.4,16.0,.24,.13,.35,220.8,-2.9,8.2,-33.2,1.3,194.2,19.7,41.2
Alejandro,Thrustmaster,,34,3B,SS,393,442,1199,1330,139,309,39,.258,.325,.408,.732,208,61,1,151,101,489,3,1,109,198,12,.150,.279,5,5,18,0,3.0,30.7,.17,.08,.33,-3.4,-0.8,8.0,0.4,0.7,4.8,0.5,10.8
Gorgon,Zola,16,41,C,,1091,1280,3281,3664,425,870,146,.265,.332,.456,.789,538,183,3,506,332,1497,9,5,316,681,29,.191,.291,8,30,0,13,2.9,22.5,.21,.09,.38,65.8,-2.2,7.9,20.8,1.9,94.2,9.5,34.5
Corey,Lawrence,10,39,RF,OF,705,766,2158,2425,300,581,96,.269,.337,.464,.801,356,125,4,350,225,1002,4,4,210,362,23,.195,.281,9,25,5,0,3.2,22.5,.17,.09,.39,52.3,-1.8,7.8,-5.7,1.7,54.2,5.4,21.9
Yvonne,Hicks,,36,SS,,685,711,2094,2319,244,527,93,.252,.313,.437,.750,326,106,2,321,201,916,9,5,184,496,11,.186,.285,12,18,35,2,3.3,22.5,.24,.08,.38,-8.5,-1.9,7.7,-1.5,1.0,-3.1,-0.3,17.0
