Season,First Name,Last Name,Team,Age,PP,2P,WAR,GB,GP,PA,AB,H,HR,AVG,OBP,SLG,OPS,R,1B,2B,3B,RBI,XBH,SB,CS,BB,K,wOBA,ISO,BABIP,SH,SF,TB,HBP,E,PB,PA/G,AB/HR,K%,BB%,XBH%,wRAA,wSB,Def,Pos,Corr,RAA,WAA,WAR,qAVG,Aggr,SB%,RS%,E/GF,PB/GF,adjBA
1,Turner,Waller,BSD,25,CF,1B/OF,2.7,75,80,267,225,63,4,.280,.391,.413,.804,29,41,18,0,18,22,3,1,37,33,.362,.133,.314,1,0,93,4,0,0,3.3,56.3,0.147,.139,.349,8.53,0.09,0.92,-0.61,0.310,9.23,0.91,2.7,0.280,0.049,0.750,0.250,0.000,0.000,0.268
1,Aubree,Roundhouse,BBR,29,RF,LF,2.5,77,80,272,231,60,10,.260,.359,.450,.809,33,37,12,1,32,23,13,1,33,47,.357,.190,.284,2,2,104,4,0,0,3.4,23.1,0.203,.121,.383,6.18,2.10,1.23,-2.82,0.316,7.01,0.69,2.5,0.260,0.189,0.929,0.264,0.000,0.000,0.269
1,Alaya,Torres,MTL,31,CF,1B/OF,3.2,80,80,288,250,69,15,.276,.366,.536,.902,43,36,16,2,43,33,3,3,33,34,.390,.260,.267,1,1,134,3,0,0,3.6,16.7,0.136,.115,.478,12.71,-0.80,0.98,-0.66,0.334,12.56,1.23,3.2,0.276,0.083,0.500,0.311,0.000,0.000,0.301
1,Paulie,Calabrese,CAS,28,3B,SS,5.7,79,80,292,258,98,17,.380,.452,.647,1.099,48,64,16,1,52,34,4,1,32,44,.473,.267,.411,0,0,167,2,0,0,3.7,15.2,0.171,.110,.347,32.74,0.28,4.07,0.06,0.339,37.49,3.68,5.7,0.380,0.051,0.800,0.270,0.000,0.000,0.295
1,Gale,Huerta,SPT,25,LF,1B/OF,2.1,70,80,249,217,54,9,.249,.341,.424,.765,31,35,9,1,33,19,0,0,31,45,.339,.175,.274,0,1,92,0,1,0,3.1,24.1,0.207,.124,.352,3.33,-0.05,0.31,0.55,0.289,4.43,0.43,2.1,0.249,0.000,0.000,0.289,0.016,0.000,0.267
1,Ford,Dupree,BOS,29,CF,OF,2.0,80,80,287,251,69,10,.275,.355,.434,.790,34,49,10,0,32,20,1,1,31,30,.349,.159,.276,0,3,109,2,2,0,3.6,25.1,0.12,.108,.290,1.77,-0.31,-0.62,-0.87,0.333,0.30,0.03,2.0,0.275,0.024,0.500,0.261,0.028,0.000,0.292
1,Clayton,Rose,SPT,31,3B,,3.7,75,80,272,238,75,11,.315,.393,.534,.927,44,45,19,0,32,30,2,1,31,34,.402,.218,.328,0,2,127,1,5,0,3.4,21.6,0.143,.114,.400,17.30,-0.11,0.00,1.17,0.316,18.68,1.83,3.7,0.315,0.039,0.667,0.344,0.075,0.000,0.289
1,Vivian,Knox,CAS,33,SS,3B,2.9,71,80,252,219,68,8,.311,.393,.452,.845,29,53,7,0,41,15,0,0,30,55,.374,.142,.380,0,2,99,1,1,0,3.2,27.4,0.251,.119,.221,8.49,-0.06,3.01,0.57,0.292,12.31,1.21,2.9,0.311,0.000,0.000,0.231,0.016,0.000,0.250
1,Special,Witness,CDMX,29,1B,LF,1.5,76,80,265,226,55,8,.243,.335,.398,.733,29,36,11,0,37,19,0,0,29,53,.326,.155,.278,2,4,90,4,2,0,3.3,28.3,0.235,.109,.345,-0.77,-0.05,-1.02,-1.12,0.308,-2.64,-0.26,1.5,0.243,0.000,0.000,0.263,0.030,0.000,0.254
1,Carlos,Christensen,HAV,31,RF,LF,1.6,76,80,251,216,54,9,.250,.340,.435,.775,36,32,13,0,29,22,4,2,29,38,.341,.185,.262,1,3,94,2,2,0,3.1,24.0,0.176,.116,.407,2.34,-0.15,-0.36,-2.79,0.291,-0.66,-0.06,1.6,0.250,0.095,0.667,0.355,0.030,0.000,0.276
1,Lennox,Blake,SEO,31,1B,3B,1.6,73,80,229,194,52,6,.268,.370,.407,.777,22,38,7,1,25,14,0,0,29,42,.348,.139,.313,2,1,79,3,0,0,2.9,32.3,0.216,.127,.269,0.59,-0.05,1.35,-1.27,0.266,0.89,0.09,1.6,0.268,0.000,0.000,0.205,0.000,0.000,0.257
1,Jayleen,Franks,CHI,24,LF,,2.0,77,80,277,246,66,5,.268,.344,.382,.726,27,48,13,0,27,18,2,1,29,43,.325,.114,.307,1,1,94,0,0,0,3.5,49.2,0.175,.105,.273,0.12,-0.11,0.79,-0.02,0.321,1.11,0.11,2.0,0.268,0.039,0.667,0.244,0.000,0.000,0.262
1,Bitzer,Kirk,NYN,28,RF,LF,3.0,77,80,275,238,74,10,.311,.393,.513,.905,38,46,18,0,34,28,0,0,29,50,.394,.202,.354,0,3,122,5,2,0,3.4,23.8,0.21,.105,.378,14.15,-0.06,-0.34,-2.82,0.319,11.25,1.10,3.0,0.311,0.000,0.000,0.286,0.029,0.000,0.266
1,Joe,Giovanni,CAS,25,CF,OF,5.2,77,80,286,255,99,16,.388,.451,.651,1.102,58,66,15,2,46,33,23,6,29,44,.473,.263,.423,0,1,166,1,1,0,3.6,15.9,0.173,.101,.333,32.11,1.83,0.13,-0.84,0.332,33.57,3.29,5.2,0.388,0.302,0.793,0.372,0.015,0.000,0.292
1,Giovanni,Bombso,MSLA,30,3B,SS,1.2,77,80,272,240,58,7,.242,.325,.388,.712,23,37,14,0,34,21,0,2,28,50,.318,.146,.277,1,1,93,2,9,0,3.4,34.3,0.208,.103,.362,-2.58,-0.95,-3.12,0.06,0.316,-6.27,-0.62,1.2,0.242,0.030,0.000,0.198,0.131,0.000,0.258
1,Hemi,Berger,MTL,32,CF,OF,1.5,79,80,247,214,53,7,.248,.348,.369,.717,34,41,5,0,27,12,13,3,28,60,.326,.121,.313,0,0,79,5,2,0,3.1,30.6,0.28,.113,.226,-1.65,1.20,-0.63,-0.86,0.287,-1.66,-0.16,1.5,0.248,0.216,0.813,0.342,0.028,0.000,0.239
