Season,First Name,Last Name,Team,Age,Role,WAR,W,L,ERA,GP,GS,IP,CG,SHO,SV,K,BB,H,ER,HR,HBP,FIP,TP,BF,RA,WP,BAA,WHIP,WPCT,OBPA,K/BB,K/9,BB/9,H/9,HR/9,PPI,PPG,RA,Def,Corr,RA9def,RAA,RAAlev,WAA,WAR
1,Svetlana,Ivanov,HAV,25,RP,2.8,8,0,1.25,50,0,65.0,0,0,0,48,22,53,9,3,2,3.18,960,267,14,0,.199,1.15,1.000,.288,2.18,6.6,3.0,7.3,0.4,14.8,19.2,14,0.39,0.017,1.99,17.81,17.15,1.68,2.78
1,Francis,Valdez,SEO,36,CL,1.3,3,2,1.38,29,0,26.0,0,0,18,22,4,18,4,3,1,3.23,333,99,5,0,.182,0.85,.600,.232,5.50,7.6,1.4,6.2,1.0,12.8,11.5,5,0.32,0.007,1.84,8.19,8.59,0.84,1.28
1,Kylie,Buttes,DUB,26,RP,3.2,5,1,1.64,45,0,65.2,0,0,6,52,20,42,12,3,4,3.14,951,257,12,0,.163,0.94,.833,.257,2.60,7.1,2.7,5.8,0.4,14.5,21.1,12,0.54,0.017,1.72,20.47,21.81,2.14,3.24
1,Lilyana,Peralta,PAL,24,CL,1.4,0,1,1.65,30,0,27.1,0,0,22,27,8,24,5,2,1,3.09,387,112,5,0,.214,1.17,.000,.295,3.38,8.9,2.6,7.9,0.7,14.2,12.9,5,0.30,0.007,1.74,8.42,9.37,0.92,1.38
1,Lax,Townsend,NYF,41,RP,0.7,2,0,1.76,9,0,15.1,0,0,0,12,3,12,3,1,2,3.19,211,58,3,0,.207,0.98,1.000,.293,4.00,7.0,1.8,7.0,0.6,13.8,23.4,3,-0.05,0.004,1.73,4.66,4.48,0.44,0.69
1,Paxton,Escobar,CAS,26,SP,5.0,5,2,1.83,20,20,98.1,3,0,0,112,39,74,20,3,0,2.87,1532,397,22,0,.186,1.15,.714,.285,2.87,10.3,3.6,6.8,0.3,15.6,76.6,22,-1.11,0.026,1.91,32.01,32.01,3.14,4.99
1,Lando,Lagrange,CAR,36,SP,5.4,8,2,1.86,20,20,106.2,4,4,0,98,31,84,22,5,7,3.05,1606,431,25,0,.195,1.08,.800,.283,3.16,8.3,2.6,7.1,0.4,15.1,80.3,25,-0.99,0.028,2.03,34.89,34.89,3.42,5.43
1,Newt,Hughes,MTL,27,RP,1.9,6,2,1.93,36,0,46.2,0,0,4,47,16,33,10,3,0,3.05,697,185,13,1,.178,1.05,.750,.265,2.94,9.1,3.1,6.4,0.6,14.9,19.4,13,-0.76,0.012,2.36,11.23,11.77,1.16,1.93
1,Beefly,Despot,MUN,23,RP,1.8,4,1,2.03,43,0,53.1,0,0,0,50,15,40,12,5,1,3.18,770,211,16,1,.190,1.03,.800,.265,3.13,8.4,2.5,6.7,0.8,14.4,17.9,16,0.78,0.014,2.83,10.03,9.66,0.95,1.84
1,Cownt,Magnifico,CDMX,24,SP,5.5,12,0,2.05,20,20,114.1,6,4,0,118,24,80,26,10,4,3.04,1628,442,27,2,.181,0.91,1.000,.244,4.92,9.3,1.9,6.3,0.8,14.2,81.4,27,0.28,0.030,2.15,33.71,33.71,3.31,5.46
1,Bax,Stiffbottom,CAR,20,RP,1.8,5,2,2.37,37,0,49.1,0,0,0,34,18,52,13,5,1,3.46,774,212,15,0,.245,1.42,.714,.335,1.89,6.2,3.3,9.5,0.9,15.7,20.9,15,-0.52,0.013,2.64,10.82,10.42,1.02,1.85
1,Tatum,Holmes,SPT,27,CL,1.2,1,2,2.38,32,0,34.0,0,0,20,27,10,24,9,5,3,3.59,502,137,11,0,.175,1.00,.133,.270,2.70,7.1,2.6,6.4,1.3,14.8,15.7,11,-0.29,0.009,2.83,5.78,6.08,0.60,1.17
